State/UT,District,Temperature,Condition,Humidity,,
Uttar Pradesh,Allahabad,17.3,Partly Cloudy,51,,
Uttar Pradesh,Ambedkar Nagar,16.6,Clear,52,,
Uttar Pradesh,Amethi,16,Clear,54,,
Uttar Pradesh,Amroha,13.9,Clear,38,,
Uttar Pradesh,Auraiya,16,Clear,65,,
Uttar Pradesh,Azamgarh,15.5,Clear,54,,
Uttar Pradesh,Baghpat,15.3,Mist,72,,
Uttar Pradesh,Bahraich,16,Clear,60,,
Uttarakhand,Almora,6,Clear,50,,
Uttarakhand,Bageshwar,6,Clear,50,,
Uttarakhand,Chamoli,-8,Clear,58,,
Uttarakhand,Champawat,11.9,Clear,50,,
Uttarakhand,Dehradun,10.9,Clear,44,,
Uttarakhand,Haridwar,12.1,Clear,42,,
Uttarakhand,Nainital,27,Sunny,61,,
Uttarakhand,Pauri Garhwal,12.9,Clear,39,,
Uttarakhand,Pithoragarh,6.9,Clear,61,,
Uttarakhand,Rudraprayag,6.8,Clear,52,,
West Bengal,Alipurduar,27,Sunny,61,,
West Bengal,Bankura,19.1,Clear,50,,
West Bengal,Birbhum,27,Sunny,61,,
West Bengal,Burdwan,19,Clear,52,,
West Bengal,Cooch Behar,17.8,Clear,64,,
West Bengal,Dakshin Dinajpur,17.7,Clear,49,,
West Bengal,Hooghly,19,Mist,88,,
West Bengal,Howrah,19,Mist,88,,
West Bengal,Jalpaiguri,17.3,Clear,68,,
West Bengal,Jhargram,19.4,Clear,75,,
Andaman and Nicobar Islands,Nicobar,27.2,Light rain shower,80,,
Andaman and Nicobar Islands,North and Middle Andaman,27.2,Light rain shower,80,,
Andaman and Nicobar Islands,South Andaman,27.2,Light rain shower,80,,
Chandigarh,Chandigarh,12.1,Clear,40,,
Dadra and Nagar Haveli and Daman and Diu,Daman,21.2,Clear,42,,
Dadra and Nagar Haveli and Daman and Diu,Diu,18.8,Clear,35,,
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,21.2,Clear,42,,
Lakshadweep,Aminidivi,27,Sunny,61,,
Lakshadweep,Androth,27,Sunny,61,,
Lakshadweep,Bithra,27,Sunny,61,,
Lakshadweep,Kalapeni,27,Sunny,61,,
Lakshadweep,Kavaratti,27.4,Clear,72,,
Lakshadweep,Minicoy,27,Sunny,61,,
Lakshadweep,Suheli,27,Sunny,61,,
Delhi,Central Delhi,15.3,Mist,72,,
Delhi,East Delhi,15.3,Mist,72,,
Delhi,New Delhi,15.3,Mist,72,,
Delhi,North Delhi,15.3,Mist,72,,
Delhi,North East Delhi,15.3,Mist,72,,
Delhi,North West Delhi,15.3,Mist,72,,
Delhi,Shahdara,15.3,Mist,72,,
Delhi,South Delhi,15.3,Mist,72,,
Delhi,South East Delhi,15.3,Mist,72,,
Delhi,South West Delhi,15.3,Mist,72,,
Puducherry,Karaikal,23.9,Patchy rain nearby,77,,
Puducherry,Mahe,23.6,Clear,89,,
Puducherry,Puducherry,23.5,Partly Cloudy,76,,
Puducherry,Yanam,19.4,Clear,86,,
Andhra Pradesh,Anantapur,24.1,Sunny,42,,
Andhra Pradesh,Chittoor,21.2,Sunny,73,,
Andhra Pradesh,East Godavari,23.2,Sunny,65,,
Andhra Pradesh,Guntur,22.4,Sunny,70,,
Andhra Pradesh,Krishna,22.7,Sunny,74,,
Andhra Pradesh,Kurnool,24.8,Sunny,39,,
Andhra Pradesh,Prakasam,24.7,Sunny,72,,
Andhra Pradesh,Srikakulam,22.5,Sunny,63,,
Andhra Pradesh,Visakhapatnam,24.1,Sunny,59,,
Andhra Pradesh,Vizianagaram,22.4,Sunny,59,,
Arunachal Pradesh,Tawang,-0.5,Sunny,43,,
Arunachal Pradesh,West Kameng,26.3,Sunny,35,,
Arunachal Pradesh,East Kameng,26.3,Sunny,35,,
Arunachal Pradesh,Papum Pare,28.7,Sunny,25,,
Arunachal Pradesh,Kurung Kumey,-7.1,Light snow,78,,
Arunachal Pradesh,Kra Daadi,27.3,Partly cloudy,52,,
Arunachal Pradesh,Lower Subansiri,-12.7,Sunny,56,,
Arunachal Pradesh,Upper Subansiri,20.1,Sunny,77,,
Arunachal Pradesh,West Siang,21.8,Sunny,32,,
Arunachal Pradesh,East Siang,21.8,Sunny,32,,
Assam,Baksa,20.2,Sunny,48,,
Assam,Barpeta,20.1,Sunny,52,,
Assam,Biswanath,23.4,Sunny,41,,
Assam,Bongaigaon,20,Sunny,47,,
Assam,Cachar,24.7,Sunny,72,,
Assam,Charaideo,24.7,Sunny,72,,
Assam,Chirang,5.1,Sunny,63,,
Assam,Darrang,19.7,Sunny,49,,
Assam,Dhemaji,18.8,Sunny,46,,
Assam,Dhubri,20.3,Sunny,50,,
Bihar,Araria,19.7,Sunny,46,,
Bihar,Arwal,18.7,Sunny,46,,
Bihar,Aurangabad,23.5,Sunny,25,,
Bihar,Banka,18.9,Sunny,49,,
Bihar,Begusarai,18.3,Sunny,50,,
Bihar,Bhagalpur,18.9,Sunny,49,,
Bihar,Bhojpur,18.5,Sunny,37,,
Bihar,Buxar,18.6,Sunny,45,,
Bihar,Darbhanga,18.7,Sunny,48,,
Bihar,East Champaran,23.2,Sunny,65,,
Chhattisgarh,Balod,22.9,Sunny,24,,
Chhattisgarh,Baloda Bazar,23.5,Sunny,26,,
Chhattisgarh,Balrampur,18.4,Sunny,42,,
Chhattisgarh,Bastar,22.2,Sunny,23,,
Chhattisgarh,Bemetara,23.5,Sunny,26,,
Chhattisgarh,Bijapur,25.4,Sunny,26,,
Chhattisgarh,Bilaspur,22.8,Sunny,30,,
Chhattisgarh,Dantewada,24.7,Sunny,72,,
Chhattisgarh,Dhamtari,22.9,Sunny,24,,
Chhattisgarh,Durg,23.7,Sunny,21,,
Goa,North Goa,25.3,Sunny,43,,
Goa,South Goa,25.3,Sunny,43,,
Gujarat,Ahmedabad,22.4,Sunny,30,,
Gujarat,Amreli,22.6,Sunny,33,,
Gujarat,Anand,22.7,Sunny,30,,
Gujarat,Aravalli,24.7,Sunny,72,,
Gujarat,Banaskantha,20.3,Sunny,35,,
Gujarat,Bharuch,23.7,Sunny,31,,
Gujarat,Bhavnagar,23.2,Sunny,37,,
Gujarat,Botad,23,Sunny,31,,
Gujarat,Chhota Udaipur,19,Sunny,36,,
Gujarat,Dahod,22.6,Sunny,32,,
Haryana,Ambala,16.8,Sunny,37,,
Haryana,Bhiwani,17.6,Sunny,40,,
Haryana,Charkhi Dadri,17.6,Sunny,40,,
Haryana,Faridabad,19.2,Sunny,37,,
Haryana,Fatehabad,17.3,Sunny,35,,
Haryana,Gurugram,24.7,Sunny,72,,
Haryana,Hisar,17.6,Sunny,36,,
Haryana,Jhajjar,18.1,Sunny,39,,
Haryana,Jind,17.1,Sunny,39,,
Haryana,Kaithal,16.4,Sunny,40,,
Himachal Pradesh,Bilaspur,22.8,Sunny,30,,
Himachal Pradesh,Chamba,15.4,Sunny,33,,
Himachal Pradesh,Hamirpur,19.3,Sunny,44,,
Himachal Pradesh,Kangra,15.4,Sunny,33,,
Himachal Pradesh,Kinnaur,24.7,Sunny,72,,
Himachal Pradesh,Kullu,24.7,Sunny,14,,
Himachal Pradesh,Lahaul and Spiti,9.9,Sunny,38,,
Himachal Pradesh,Mandi,15.2,Sunny,35,,
Himachal Pradesh,Shimla,9.9,Sunny,38,,
Himachal Pradesh,Sirmaur,20.7,Sunny,44,,
Jharkhand,Bokaro,21.3,Sunny,30,,
Jharkhand,Chatra,19.8,Sunny,32,,
Jharkhand,Deoghar,20.7,Sunny,38,,
Jharkhand,Dhanbad,22.5,Sunny,30,,
Jharkhand,Dumka,20.8,Sunny,39,,
Jharkhand,East Singhbhum,23.2,Sunny,65,,
Jharkhand,Garhwa,20.1,Sunny,41,,
Jharkhand,Giridih,21,Sunny,34,,
Jharkhand,Godda,18.9,Sunny,49,,
Jharkhand,Gumla,21.4,Sunny,30,,
Karnataka,Bagalkot,24.8,Sunny,28,,
Karnataka,Ballari,24,Sunny,37,,
Karnataka,Belagavi,23.3,Sunny,25,,
Karnataka,Bengaluru Rural,21.9,Sunny,47,,
Karnataka,Bengaluru Urban,21.9,Sunny,47,,
Karnataka,Bidar,24.2,Sunny,25,,
Karnataka,Chamarajanagar,24.7,Sunny,72,,
Karnataka,Chikkaballapur,24.7,Sunny,72,,
Karnataka,Chikkamagaluru,21.2,Sunny,32,,
Karnataka,Chitradurga,23.4,Sunny,33,,
